marca,nome_cor,preco_painel,url_imagem
guararapes,MDF Níquel,320,https://images.prismic.io/guararapes/7df633dd-75b1-49af-92d5-dd002796e992_guararapes-produtos-niquel.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Pau-Ferro,320,https://images.prismic.io/guararapes/bc0c3d3c-2aac-4777-94af-fed96ef96e4c_guararapes-produtos-pau-ferro.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Preto Silk,320,https://images.prismic.io/guararapes/db7f652d-c55a-4fb5-9d13-9e285ea8267c_guararapes-produtos-preto-silk.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Fontana,320,https://images.prismic.io/guararapes/093ca4bb-5ae5-4506-9b3b-13a961403d88_guararapes-produtos-fontana.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Tela,320,https://images.prismic.io/guararapes/a5c553e6-2065-4a5d-99c4-17fbf6aa02ee_guararapes-produtos-tela.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,RUC Tauari,320,https://images.prismic.io/guararapes/17790abf-f165-454f-b50d-b4e28069d927_guararapes-produtos-tauari.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Tijolo,320,https://images.prismic.io/guararapes/f12d8de0-46f5-46a4-aad8-5ec170aefcc7_guararapes-produtos-tijolo.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
berneck,Terrazza,315,https://www.berneck.com.br/uploads/terrazza_micro_b9667e501e.jpg
berneck,Amantea,315,https://www.berneck.com.br/uploads/amantea_tatto_8f02785d2e.jpg
berneck,Argento,315,https://www.berneck.com.br/uploads/argento_rust_6c5a051e9f.jpg
berneck,Azul Tx,315,https://www.berneck.com.br/uploads/azul_tx_1154x2500_BNK_2_95169e489d.png
berneck,Azul Vel,315,https://www.berneck.com.br/uploads/azul_tx_68bb2af628.jpg
berneck,Barrique,315,https://www.berneck.com.br/uploads/barrique_tatto_ec460148c1.jpg
berneck,Bege,315,https://www.berneck.com.br/uploads/ovo_1ba7af9388.jpg
berneck,Branco Vel,315,https://www.berneck.com.br/uploads/branco_vel_site_705b5c43df.jpg
berneck,Branco Design,315,https://www.berneck.com.br/uploads/branco_design_site_afe070a913.jpg
berneck,Carvalho Treviso,315,https://www.berneck.com.br/uploads/carvalho_treviso_design_3363fea16f.jpg
berneck,Cacau,315,https://www.berneck.com.br/uploads/cacau_grann_68ef871298.jpg
berneck,Castaine,315,https://www.berneck.com.br/uploads/castaine_tatto_45845eb650.jpg
berneck,Chiaro,315,https://www.berneck.com.br/uploads/chiaro_vel_ec6e9ca7b0.jpg
berneck,Chumbo,315,https://www.berneck.com.br/uploads/chumbo_micro_f278e3444a.jpg
berneck,Cinamomo,315,https://www.berneck.com.br/uploads/cinamomo_grann_e1b0c5003d.jpg
berneck,Cinza Argila,315,https://www.berneck.com.br/uploads/cinza_argila_6ecd68197b.jpg
berneck,Cinza Cobalto Tx,315,https://www.berneck.com.br/uploads/cinza_cobalto_tx_5e67af837c.jpg
berneck,Cinza Cobalto Vel,315,https://www.berneck.com.br/uploads/cinza_cobalto_0b03191755.jpg
berneck,Cinza Cristal,315,https://www.berneck.com.br/uploads/cinza_cristal_380f09958a.jpg
berneck,Faia,315,https://www.berneck.com.br/uploads/faia_grann_cfecbe4e63.jpg
berneck,Frassino Almendra,315,https://www.berneck.com.br/uploads/frassino_almendra_poro_e96c932956.jpg
berneck,Galiano,315,https://www.berneck.com.br/uploads/galiano_grann_0e63706b41.jpg
berneck,Gengibre,315,https://www.berneck.com.br/uploads/gengibre_tatto_453addace6.jpg
berneck,Griseo,315,https://www.berneck.com.br/uploads/griseo_grann_0f46925cf5.jpg
